UNOFFICIAL ELECTION RESULTS
LATAH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Farmington 20","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"Farmington 20","State Representative District 6 Seat A","Lori McCann","1","0.00%"
"Farmington 20","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"Farmington 20","State Representative District 6 Seat B","Brandon Mitchell","1","0.00%"
"Farmington 20","County Commissioner District 1","Mark Thorne","0","0.00%"
"Farmington 20","County Commissioner District 1","Tony Johnson","1","0.00%"
"Farmington 20","County Commissioner District 3","John Bohman","0","0.00%"
"Farmington 20","County Commissioner District 3","Jason Stooks","1","0.00%"
"Farmington 20","County Sheriff","Richie Skiles","0","0.00%"
"Farmington 20","County Sheriff","James Fry Jr.","0","0.00%"
"Farmington 20","County Sheriff","Christopher Middleton","0","0.00%"
"Farmington 20","County Prosecuting Attorney","W.W. Bill Thompson","0","0.00%"
"Farmington 20","Retain Magistrate Judge Megan Marshall","YES","0","0.00%"
"Farmington 20","Retain Magistrate Judge Megan Marshall","NO","0","0.00%"
"Farmington 20","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","0","0.00%"
"Farmington 20","Latah Soil & Water Dist Supervisors","David Huggins","0","0.00%"
"Farmington 20","Latah Soil & Water Dist Supervisors","Kendall Kahl","0","0.00%"
"Farmington 20","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"Farmington 20","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"Farmington 20","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"Farmington 20","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"Genesee 21","United States President","Joel Skousen","0","0.00%"
"Genesee 21","United States President","Kamala D. Harris","257","0.00%"
"Genesee 21","United States President","Chase Oliver","8","0.00%"
"Genesee 21","United States President","Donald J. Trump","612","0.00%"
"Genesee 21","United States President","Shiva Ayyadurai","2","0.00%"
"Genesee 21","United States President","Claudia De la Cruz","1","0.00%"
"Genesee 21","United States President","Robert F Kennedy Jr.","14","0.00%"
"Genesee 21","United States President","Jill Stein","1","0.00%"
"Genesee 21","United States President","Randall Terry","0","0.00%"
"Genesee 21","United States Representative District 1","Brendan J. Gomez","15","0.00%"
"Genesee 21","United States Representative District 1","Kaylee Peterson","257","0.00%"
"Genesee 21","United States Representative District 1","Matt Loesby","20","0.00%"
"Genesee 21","United States Representative District 1","Russ Fulcher","585","0.00%"
"Genesee 21","State Senator District 6","Julia Parker","360","0.00%"
"Genesee 21","State Senator District 6","Dan Foreman","525","0.00%"
"Genesee 21","State Representative District 6 Seat A","Trish Carter-Goodheart","202","0.00%"
"Genesee 21","State Representative District 6 Seat A","Lori McCann","674","0.00%"
"Genesee 21","State Representative District 6 Seat B","Kathy Dawes","290","0.00%"
"Genesee 21","State Representative District 6 Seat B","Brandon Mitchell","602","0.00%"
"Genesee 21","County Commissioner District 1","Mark Thorne","229","0.00%"
"Genesee 21","County Commissioner District 1","Tony Johnson","646","0.00%"
"Genesee 21","County Commissioner District 3","John Bohman","310","0.00%"
"Genesee 21","County Commissioner District 3","Jason Stooks","570","0.00%"
"Genesee 21","County Sheriff","Richie Skiles","582","0.00%"
"Genesee 21","County Sheriff","James Fry Jr.","249","0.00%"
"Genesee 21","County Sheriff","Christopher Middleton","45","0.00%"
"Genesee 21","County Prosecuting Attorney","W.W. Bill Thompson","709","0.00%"
"Genesee 21","Retain Magistrate Judge Megan Marshall","YES","662","0.00%"
"Genesee 21","Retain Magistrate Judge Megan Marshall","NO","127","0.00%"
"Genesee 21","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","678","0.00%"
"Genesee 21","Latah Soil & Water Dist Supervisors","David Huggins","662","0.00%"
"Genesee 21","Latah Soil & Water Dist Supervisors","Kendall Kahl","637","0.00%"
"Genesee 21","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","567","0.00%"
"Genesee 21","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","311","0.00%"
"Genesee 21","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","289","0.00%"
"Genesee 21","Proposition 1","NO, make no change to the current primary and general election voting system.","591","0.00%"
"Harvard 22","United States President","Joel Skousen","2","0.00%"
"Harvard 22","United States President","Kamala D. Harris","38","0.00%"
"Harvard 22","United States President","Chase Oliver","1","0.00%"
"Harvard 22","United States President","Donald J. Trump","211","0.00%"
"Harvard 22","United States President","Shiva Ayyadurai","0","0.00%"
"Harvard 22","United States President","Claudia De la Cruz","0","0.00%"
"Harvard 22","United States President","Robert F Kennedy Jr.","6","0.00%"
"Harvard 22","United States President","Jill Stein","0","0.00%"
"Harvard 22","United States President","Randall Terry","0","0.00%"
"Harvard 22","United States Representative District 1","Brendan J. Gomez","4","0.00%"
"Harvard 22","United States Representative District 1","Kaylee Peterson","31","0.00%"
"Harvard 22","United States Representative District 1","Matt Loesby","4","0.00%"
"Harvard 22","United States Representative District 1","Russ Fulcher","204","0.00%"
"Harvard 22","State Senator District 6","Julia Parker","66","0.00%"
"Harvard 22","State Senator District 6","Dan Foreman","194","0.00%"
"Harvard 22","State Representative District 6 Seat A","Trish Carter-Goodheart","29","0.00%"
"Harvard 22","State Representative District 6 Seat A","Lori McCann","221","0.00%"
"Harvard 22","State Representative District 6 Seat B","Kathy Dawes","41","0.00%"
"Harvard 22","State Representative District 6 Seat B","Brandon Mitchell","218","0.00%"
"Harvard 22","County Commissioner District 1","Mark Thorne","39","0.00%"
"Harvard 22","County Commissioner District 1","Tony Johnson","214","0.00%"
"Harvard 22","County Commissioner District 3","John Bohman","44","0.00%"
"Harvard 22","County Commissioner District 3","Jason Stooks","209","0.00%"
"Harvard 22","County Sheriff","Richie Skiles","222","0.00%"
"Harvard 22","County Sheriff","James Fry Jr.","26","0.00%"
"Harvard 22","County Sheriff","Christopher Middleton","8","0.00%"
"Harvard 22","County Prosecuting Attorney","W.W. Bill Thompson","175","0.00%"
"Harvard 22","Retain Magistrate Judge Megan Marshall","YES","173","0.00%"
"Harvard 22","Retain Magistrate Judge Megan Marshall","NO","49","0.00%"
"Harvard 22","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","193","0.00%"
"Harvard 22","Latah Soil & Water Dist Supervisors","David Huggins","180","0.00%"
"Harvard 22","Latah Soil & Water Dist Supervisors","Kendall Kahl","176","0.00%"
"Harvard 22","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","185","0.00%"
"Harvard 22","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","73","0.00%"
"Harvard 22","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","49","0.00%"
"Harvard 22","Proposition 1","NO, make no change to the current primary and general election voting system.","211","0.00%"
"Juliaetta 23","United States President","Joel Skousen","2","0.00%"
"Juliaetta 23","United States President","Kamala D. Harris","67","0.00%"
"Juliaetta 23","United States President","Chase Oliver","1","0.00%"
"Juliaetta 23","United States President","Donald J. Trump","296","0.00%"
"Juliaetta 23","United States President","Shiva Ayyadurai","0","0.00%"
"Juliaetta 23","United States President","Claudia De la Cruz","0","0.00%"
"Juliaetta 23","United States President","Robert F Kennedy Jr.","5","0.00%"
"Juliaetta 23","United States President","Jill Stein","0","0.00%"
"Juliaetta 23","United States President","Randall Terry","0","0.00%"
"Juliaetta 23","United States Representative District 1","Brendan J. Gomez","5","0.00%"
"Juliaetta 23","United States Representative District 1","Kaylee Peterson","71","0.00%"
"Juliaetta 23","United States Representative District 1","Matt Loesby","5","0.00%"
"Juliaetta 23","United States Representative District 1","Russ Fulcher","267","0.00%"
"Juliaetta 23","State Senator District 6","Julia Parker","107","0.00%"
"Juliaetta 23","State Senator District 6","Dan Foreman","255","0.00%"
"Juliaetta 23","State Representative District 6 Seat A","Trish Carter-Goodheart","63","0.00%"
"Juliaetta 23","State Representative District 6 Seat A","Lori McCann","298","0.00%"
"Juliaetta 23","State Representative District 6 Seat B","Kathy Dawes","85","0.00%"
"Juliaetta 23","State Representative District 6 Seat B","Brandon Mitchell","277","0.00%"
"Juliaetta 23","County Commissioner District 1","Mark Thorne","79","0.00%"
"Juliaetta 23","County Commissioner District 1","Tony Johnson","279","0.00%"
"Juliaetta 23","County Commissioner District 3","John Bohman","84","0.00%"
"Juliaetta 23","County Commissioner District 3","Jason Stooks","270","0.00%"
"Juliaetta 23","County Sheriff","Richie Skiles","273","0.00%"
"Juliaetta 23","County Sheriff","James Fry Jr.","74","0.00%"
"Juliaetta 23","County Sheriff","Christopher Middleton","17","0.00%"
"Juliaetta 23","County Prosecuting Attorney","W.W. Bill Thompson","260","0.00%"
"Juliaetta 23","Retain Magistrate Judge Megan Marshall","YES","259","0.00%"
"Juliaetta 23","Retain Magistrate Judge Megan Marshall","NO","55","0.00%"
"Juliaetta 23","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","247","0.00%"
"Juliaetta 23","Latah Soil & Water Dist Supervisors","David Huggins","263","0.00%"
"Juliaetta 23","Latah Soil & Water Dist Supervisors","Kendall Kahl","247","0.00%"
"Juliaetta 23","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","225","0.00%"
"Juliaetta 23","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","133","0.00%"
"Juliaetta 23","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","92","0.00%"
"Juliaetta 23","Proposition 1","NO, make no change to the current primary and general election voting system.","270","0.00%"
"Juliaetta 23","Recall Councilmember Judi Fuller","FOR recalling Judi Fuller who holds of","202","0.00%"
"Juliaetta 23","Recall Councilmember Judi Fuller","AGAINST recalling Judi Fuller who hold","81","0.00%"
"Juliaetta 23","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","IN FAVOR OF","219","0.00%"
"Juliaetta 23","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","AGAINST","125","0.00%"
"Kendrick 24","United States President","Joel Skousen","0","0.00%"
"Kendrick 24","United States President","Kamala D. Harris","69","0.00%"
"Kendrick 24","United States President","Chase Oliver","5","0.00%"
"Kendrick 24","United States President","Donald J. Trump","236","0.00%"
"Kendrick 24","United States President","Shiva Ayyadurai","1","0.00%"
"Kendrick 24","United States President","Claudia De la Cruz","0","0.00%"
"Kendrick 24","United States President","Robert F Kennedy Jr.","7","0.00%"
"Kendrick 24","United States President","Jill Stein","1","0.00%"
"Kendrick 24","United States President","Randall Terry","0","0.00%"
"Kendrick 24","United States Representative District 1","Brendan J. Gomez","6","0.00%"
"Kendrick 24","United States Representative District 1","Kaylee Peterson","68","0.00%"
"Kendrick 24","United States Representative District 1","Matt Loesby","7","0.00%"
"Kendrick 24","United States Representative District 1","Russ Fulcher","224","0.00%"
"Kendrick 24","State Senator District 6","Julia Parker","106","0.00%"
"Kendrick 24","State Senator District 6","Dan Foreman","210","0.00%"
"Kendrick 24","State Representative District 6 Seat A","Trish Carter-Goodheart","59","0.00%"
"Kendrick 24","State Representative District 6 Seat A","Lori McCann","249","0.00%"
"Kendrick 24","State Representative District 6 Seat B","Kathy Dawes","76","0.00%"
"Kendrick 24","State Representative District 6 Seat B","Brandon Mitchell","239","0.00%"
"Kendrick 24","County Commissioner District 1","Mark Thorne","65","0.00%"
"Kendrick 24","County Commissioner District 1","Tony Johnson","241","0.00%"
"Kendrick 24","County Commissioner District 3","John Bohman","88","0.00%"
"Kendrick 24","County Commissioner District 3","Jason Stooks","224","0.00%"
"Kendrick 24","County Sheriff","Richie Skiles","230","0.00%"
"Kendrick 24","County Sheriff","James Fry Jr.","70","0.00%"
"Kendrick 24","County Sheriff","Christopher Middleton","18","0.00%"
"Kendrick 24","County Prosecuting Attorney","W.W. Bill Thompson","238","0.00%"
"Kendrick 24","Retain Magistrate Judge Megan Marshall","YES","219","0.00%"
"Kendrick 24","Retain Magistrate Judge Megan Marshall","NO","51","0.00%"
"Kendrick 24","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","228","0.00%"
"Kendrick 24","Latah Soil & Water Dist Supervisors","David Huggins","228","0.00%"
"Kendrick 24","Latah Soil & Water Dist Supervisors","Kendall Kahl","218","0.00%"
