"docketentry_id","docketentry_entry_number","docketentry_date_filed","docketentry_time_filed","docketentry_pacer_sequence_number","docketentry_recap_sequence_number","docketentry_description","recapdocument_id","recapdocument_document_type","recapdocument_description","recapdocument_acms_document_guid","recapdocument_date_upload","recapdocument_document_number","recapdocument_attachment_number","recapdocument_pacer_doc_id","recapdocument_is_free_on_pacer","recapdocument_is_available","recapdocument_is_sealed","recapdocument_sha1","recapdocument_page_count","recapdocument_file_size","recapdocument_filepath_local","recapdocument_filepath_ia","recapdocument_ocr_status"
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734166","Attachment","Memorandum in Support","","","22","1","06303016096","","","","","41","783349","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734167","Attachment","Declaration of Cull","","","22","2","06303016097","","","","","4","591297","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734168","Attachment","Declaration of JE","","","22","3","06303016098","","","","","4","591739","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734169","Attachment","Declaration of Lanzara","","","22","4","06303016099","","","","","4","596835","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734170","Attachment","Declaration of Levithan","","","22","5","06303016100","","","","","6","614226","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734171","Attachment","Declaration of Lo","","","22","6","06303016101","","","","","5","599743","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734172","Attachment","Declaration of Nichols","","","22","7","06303016102","","","","","7","601662","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734173","Attachment","Declaration of Scheline","","","22","8","06303016103","","","","","8","607780","","",""
"416494636","22","2025-02-13","13:02:35","126","2025-02-13.006","MOTION for Preliminary Injunction Deborah A Ferguson appearing for Plaintiffs Melisa Cull, Barbara Ersland, Hachette Book Group, Inc., HarperCollinss Publishers LLC, J.E., Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District. Responses due by 3/6/2025 (Attachments: # 1 Memorandum in Support, # 2 Declaration of Cull, # 3 Declaration of JE, # 4 Declaration of Lanzara, # 5 Declaration of Levithan, # 6 Declaration of Lo, # 7 Declaration of Nichols, # 8 Declaration of Scheline, # 9 Declaration of Slater)(Ferguson, Deborah)","430734174","Attachment","Declaration of Slater","","","22","9","06303016104","","","","","9","619681","","",""
"416990253","23","2025-02-19","","128","2025-02-19.001","NOTICE of Appearance by Craig Durham on behalf of All Plaintiffs (Durham, Craig)","430739363","PACER Document","","","","23","","06303018066","","","","","","","","",""
