Type,Budget,Bill,Status,Description
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Office of Health&Social Services Ombudsman,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Office of the State Public Defender,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>Public Defense Commission,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>State Appellate Public Defender,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>State Historical Society,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Self-Governing Agencies<br>State Lottery,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Labor,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Insurance,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Finance,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Commerce,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Agriculture,☐,☐,☐
Enhancement,<i>Economic Development</i><br>Department of Agriculture<br>Soil&Water Conservation Commission,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>State Treasurer<br>Millennium Fund,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>State Treasurer,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>State Controller,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>Secretary of State,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>Lieutenant Governor,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>Governor,☐,☐,☐
Enhancement,<i>Constitutional Officers</i><br>Attorney General,☐,☐,☐
