UNOFFICIAL ELECTION RESULTS
NEZ PERCE
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"FOOTHILLS 24","United States President","Joel Skousen","0","0.00%"
"FOOTHILLS 24","United States President","Kamala D. Harris","0","0.00%"
"FOOTHILLS 24","United States President","Chase Oliver","0","0.00%"
"FOOTHILLS 24","United States President","Donald J. Trump","0","0.00%"
"FOOTHILLS 24","United States President","Shiva Ayyadurai","0","0.00%"
"FOOTHILLS 24","United States President","Claudia De la Cruz","0","0.00%"
"FOOTHILLS 24","United States President","Robert F Kennedy Jr.","0","0.00%"
"FOOTHILLS 24","United States President","Jill Stein","0","0.00%"
"FOOTHILLS 24","United States President","Randall Terry","0","0.00%"
"FOOTHILLS 24","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"FOOTHILLS 24","United States Representative District 1","Kaylee Peterson","0","0.00%"
"FOOTHILLS 24","United States Representative District 1","Matt Loesby","0","0.00%"
"FOOTHILLS 24","United States Representative District 1","Russ Fulcher","0","0.00%"
"FOOTHILLS 24","State Senator District 6","Julia Parker","0","0.00%"
"FOOTHILLS 24","State Senator District 6","Dan Foreman","0","0.00%"
"FOOTHILLS 24","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"FOOTHILLS 24","State Representative District 6 Seat A","Lori McCann","0","0.00%"
"FOOTHILLS 24","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"FOOTHILLS 24","State Representative District 6 Seat B","Brandon Mitchell","0","0.00%"
"FOOTHILLS 24","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"FOOTHILLS 24","County Commissioner District 3","Pete Gertonson","0","0.00%"
"FOOTHILLS 24","County Commissioner District 3","Joe Gish","0","0.00%"
"FOOTHILLS 24","County Sheriff","Bryce Scrimsher","0","0.00%"
"FOOTHILLS 24","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"FOOTHILLS 24","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"FOOTHILLS 24","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"FOOTHILLS 24","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"FOOTHILLS 24","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"FOOTHILLS 24","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"FOOTHILLS 24","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"GIFFORD 30","United States President","Joel Skousen","0","0.00%"
"GIFFORD 30","United States President","Kamala D. Harris","0","0.00%"
"GIFFORD 30","United States President","Chase Oliver","0","0.00%"
"GIFFORD 30","United States President","Donald J. Trump","0","0.00%"
"GIFFORD 30","United States President","Shiva Ayyadurai","0","0.00%"
"GIFFORD 30","United States President","Claudia De la Cruz","0","0.00%"
"GIFFORD 30","United States President","Robert F Kennedy Jr.","0","0.00%"
"GIFFORD 30","United States President","Jill Stein","0","0.00%"
"GIFFORD 30","United States President","Randall Terry","0","0.00%"
"GIFFORD 30","United States Representative District 1","Brendan J. Gomez","0","0.00%"
