UNOFFICIAL ELECTION RESULTS
NEZ PERCE
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"LEWISTON 11","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","81","29.06%"
"LEWISTON 11","Proposition 1","NO, make no change to the current primary and general election voting system.","182","29.06%"
"LEWISTON 12","United States President","Joel Skousen","0","0.00%"
"LEWISTON 12","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 12","United States President","Chase Oliver","0","0.00%"
"LEWISTON 12","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 12","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 12","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 12","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 12","United States President","Jill Stein","0","0.00%"
"LEWISTON 12","United States President","Randall Terry","0","0.00%"
"LEWISTON 12","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 12","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 12","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 12","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 12","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 12","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 12","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 12","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 12","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 12","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 12","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 12","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 12","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 12","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 12","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 12","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 12","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 12","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 12","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 12","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 12","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 13","United States President","Joel Skousen","0","0.00%"
"LEWISTON 13","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 13","United States President","Chase Oliver","0","0.00%"
"LEWISTON 13","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 13","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 13","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 13","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 13","United States President","Jill Stein","0","0.00%"
"LEWISTON 13","United States President","Randall Terry","0","0.00%"
"LEWISTON 13","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 13","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 13","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 13","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 13","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 13","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 13","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 13","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 13","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 13","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 13","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 13","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 13","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 13","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 13","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 13","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 13","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 13","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 13","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 13","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 13","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 14","United States President","Joel Skousen","0","0.00%"
"LEWISTON 14","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 14","United States President","Chase Oliver","0","0.00%"
"LEWISTON 14","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 14","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 14","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 14","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 14","United States President","Jill Stein","0","0.00%"
"LEWISTON 14","United States President","Randall Terry","0","0.00%"
"LEWISTON 14","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 14","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 14","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 14","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 14","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 14","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 14","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 14","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 14","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 14","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 14","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 14","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 14","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 14","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 14","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 14","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 14","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 14","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 14","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 14","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 14","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 15","United States President","Joel Skousen","0","0.00%"
"LEWISTON 15","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 15","United States President","Chase Oliver","0","0.00%"
"LEWISTON 15","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 15","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 15","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 15","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 15","United States President","Jill Stein","0","0.00%"
"LEWISTON 15","United States President","Randall Terry","0","0.00%"
"LEWISTON 15","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 15","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 15","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 15","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 15","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 15","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 15","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 15","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 15","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 15","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 15","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 15","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 15","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 15","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 15","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 15","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 15","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 15","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 15","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 15","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 15","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 16","United States President","Joel Skousen","0","33.08%"
"LEWISTON 16","United States President","Kamala D. Harris","58","33.08%"
"LEWISTON 16","United States President","Chase Oliver","1","33.08%"
"LEWISTON 16","United States President","Donald J. Trump","193","33.08%"
"LEWISTON 16","United States President","Shiva Ayyadurai","0","33.08%"
"LEWISTON 16","United States President","Claudia De la Cruz","0","33.08%"
"LEWISTON 16","United States President","Robert F Kennedy Jr.","5","33.08%"
"LEWISTON 16","United States President","Jill Stein","0","33.08%"
"LEWISTON 16","United States President","Randall Terry","0","33.08%"
"LEWISTON 16","United States Representative District 1","Brendan J. Gomez","4","33.08%"
"LEWISTON 16","United States Representative District 1","Kaylee Peterson","61","33.08%"
"LEWISTON 16","United States Representative District 1","Matt Loesby","10","33.08%"
"LEWISTON 16","United States Representative District 1","Russ Fulcher","175","33.08%"
"LEWISTON 16","State Senator District 7","Bill Farmer","60","33.08%"
"LEWISTON 16","State Senator District 7","Cindy Carlson","191","33.08%"
"LEWISTON 16","State Representative District 7 Seat A","Vickie Nostrant","64","33.08%"
"LEWISTON 16","State Representative District 7 Seat A","Kyle N. Harris","187","33.08%"
"LEWISTON 16","State Representative District 7 Seat B","Dustin Hardisty","69","33.08%"
"LEWISTON 16","State Representative District 7 Seat B","Charlie Shepherd","182","33.08%"
"LEWISTON 16","County Commissioner District 1","Hannah Liedkie","223","33.08%"
"LEWISTON 16","County Commissioner District 3","Pete Gertonson","69","33.08%"
"LEWISTON 16","County Commissioner District 3","Joe Gish","179","33.08%"
"LEWISTON 16","County Sheriff","Bryce Scrimsher","226","33.08%"
"LEWISTON 16","County Prosecuting Attorney","Justin J. Coleman","209","33.08%"
"LEWISTON 16","Retain Magistrate Judge Victoria Olds","YES","195","33.08%"
"LEWISTON 16","Retain Magistrate Judge Victoria Olds","NO","38","33.08%"
"LEWISTON 16","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","161","33.08%"
"LEWISTON 16","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","84","33.08%"
"LEWISTON 16","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","65","33.08%"
"LEWISTON 16","Proposition 1","NO, make no change to the current primary and general election voting system.","188","33.08%"
"LEWISTON 17","United States President","Joel Skousen","1","39.87%"
"LEWISTON 17","United States President","Kamala D. Harris","86","39.87%"
"LEWISTON 17","United States President","Chase Oliver","0","39.87%"
"LEWISTON 17","United States President","Donald J. Trump","279","39.87%"
"LEWISTON 17","United States President","Shiva Ayyadurai","0","39.87%"
"LEWISTON 17","United States President","Claudia De la Cruz","1","39.87%"
"LEWISTON 17","United States President","Robert F Kennedy Jr.","3","39.87%"
"LEWISTON 17","United States President","Jill Stein","1","39.87%"
"LEWISTON 17","United States President","Randall Terry","1","39.87%"
"LEWISTON 17","United States Representative District 1","Brendan J. Gomez","7","39.87%"
"LEWISTON 17","United States Representative District 1","Kaylee Peterson","82","39.87%"
"LEWISTON 17","United States Representative District 1","Matt Loesby","8","39.87%"
"LEWISTON 17","United States Representative District 1","Russ Fulcher","276","39.87%"
"LEWISTON 17","State Senator District 7","Bill Farmer","87","39.87%"
"LEWISTON 17","State Senator District 7","Cindy Carlson","287","39.87%"
"LEWISTON 17","State Representative District 7 Seat A","Vickie Nostrant","91","39.87%"
"LEWISTON 17","State Representative District 7 Seat A","Kyle N. Harris","278","39.87%"
"LEWISTON 17","State Representative District 7 Seat B","Dustin Hardisty","77","39.87%"
"LEWISTON 17","State Representative District 7 Seat B","Charlie Shepherd","291","39.87%"
"LEWISTON 17","County Commissioner District 1","Hannah Liedkie","337","39.87%"
"LEWISTON 17","County Commissioner District 3","Pete Gertonson","88","39.87%"
"LEWISTON 17","County Commissioner District 3","Joe Gish","282","39.87%"
"LEWISTON 17","County Sheriff","Bryce Scrimsher","345","39.87%"
"LEWISTON 17","County Prosecuting Attorney","Justin J. Coleman","319","39.87%"
"LEWISTON 17","Retain Magistrate Judge Victoria Olds","YES","300","39.87%"
"LEWISTON 17","Retain Magistrate Judge Victoria Olds","NO","36","39.87%"
"LEWISTON 17","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","248","39.87%"
"LEWISTON 17","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","123","39.87%"
"LEWISTON 17","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","90","39.87%"
"LEWISTON 17","Proposition 1","NO, make no change to the current primary and general election voting system.","287","39.87%"
"LEWISTON 18","United States President","Joel Skousen","0","0.00%"
"LEWISTON 18","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 18","United States President","Chase Oliver","0","0.00%"
"LEWISTON 18","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 18","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 18","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 18","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 18","United States President","Jill Stein","0","0.00%"
"LEWISTON 18","United States President","Randall Terry","0","0.00%"
"LEWISTON 18","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 18","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 18","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 18","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 18","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 18","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 18","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 18","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 18","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 18","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 18","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 18","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 18","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 18","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 18","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 18","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 18","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 18","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 18","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 18","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 18","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 19","United States President","Joel Skousen","0","39.01%"
"LEWISTON 19","United States President","Kamala D. Harris","88","39.01%"
"LEWISTON 19","United States President","Chase Oliver","0","39.01%"
"LEWISTON 19","United States President","Donald J. Trump","342","39.01%"
"LEWISTON 19","United States President","Shiva Ayyadurai","0","39.01%"
"LEWISTON 19","United States President","Claudia De la Cruz","0","39.01%"
"LEWISTON 19","United States President","Robert F Kennedy Jr.","8","39.01%"
"LEWISTON 19","United States President","Jill Stein","1","39.01%"
"LEWISTON 19","United States President","Randall Terry","0","39.01%"
"LEWISTON 19","United States Representative District 1","Brendan J. Gomez","9","39.01%"
"LEWISTON 19","United States Representative District 1","Kaylee Peterson","87","39.01%"
"LEWISTON 19","United States Representative District 1","Matt Loesby","7","39.01%"
"LEWISTON 19","United States Representative District 1","Russ Fulcher","325","39.01%"
"LEWISTON 19","State Senator District 6","Julia Parker","107","39.01%"
"LEWISTON 19","State Senator District 6","Dan Foreman","321","39.01%"
"LEWISTON 19","State Representative District 6 Seat A","Trish Carter-Goodheart","66","39.01%"
"LEWISTON 19","State Representative District 6 Seat A","Lori McCann","354","39.01%"
"LEWISTON 19","State Representative District 6 Seat B","Kathy Dawes","87","39.01%"
"LEWISTON 19","State Representative District 6 Seat B","Brandon Mitchell","332","39.01%"
"LEWISTON 19","County Commissioner District 1","Hannah Liedkie","388","39.01%"
"LEWISTON 19","County Commissioner District 3","Pete Gertonson","100","39.01%"
"LEWISTON 19","County Commissioner District 3","Joe Gish","329","39.01%"
"LEWISTON 19","County Sheriff","Bryce Scrimsher","399","39.01%"
"LEWISTON 19","County Prosecuting Attorney","Justin J. Coleman","357","39.01%"
"LEWISTON 19","Retain Magistrate Judge Victoria Olds","YES","327","39.01%"
"LEWISTON 19","Retain Magistrate Judge Victoria Olds","NO","54","39.01%"
"LEWISTON 19","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","290","39.01%"
"LEWISTON 19","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","140","39.01%"
"LEWISTON 19","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","99","39.01%"
"LEWISTON 19","Proposition 1","NO, make no change to the current primary and general election voting system.","331","39.01%"
"LEWISTON 2","United States President","Joel Skousen","0","0.00%"
"LEWISTON 2","United States President","Kamala D. Harris","0","0.00%"
"LEWISTON 2","United States President","Chase Oliver","0","0.00%"
"LEWISTON 2","United States President","Donald J. Trump","0","0.00%"
"LEWISTON 2","United States President","Shiva Ayyadurai","0","0.00%"
"LEWISTON 2","United States President","Claudia De la Cruz","0","0.00%"
"LEWISTON 2","United States President","Robert F Kennedy Jr.","0","0.00%"
"LEWISTON 2","United States President","Jill Stein","0","0.00%"
"LEWISTON 2","United States President","Randall Terry","0","0.00%"
"LEWISTON 2","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"LEWISTON 2","United States Representative District 1","Kaylee Peterson","0","0.00%"
"LEWISTON 2","United States Representative District 1","Matt Loesby","0","0.00%"
"LEWISTON 2","United States Representative District 1","Russ Fulcher","0","0.00%"
"LEWISTON 2","State Senator District 7","Bill Farmer","0","0.00%"
"LEWISTON 2","State Senator District 7","Cindy Carlson","0","0.00%"
"LEWISTON 2","State Representative District 7 Seat A","Vickie Nostrant","0","0.00%"
"LEWISTON 2","State Representative District 7 Seat A","Kyle N. Harris","0","0.00%"
"LEWISTON 2","State Representative District 7 Seat B","Dustin Hardisty","0","0.00%"
"LEWISTON 2","State Representative District 7 Seat B","Charlie Shepherd","0","0.00%"
"LEWISTON 2","County Commissioner District 1","Hannah Liedkie","0","0.00%"
"LEWISTON 2","County Commissioner District 3","Pete Gertonson","0","0.00%"
"LEWISTON 2","County Commissioner District 3","Joe Gish","0","0.00%"
"LEWISTON 2","County Sheriff","Bryce Scrimsher","0","0.00%"
"LEWISTON 2","County Prosecuting Attorney","Justin J. Coleman","0","0.00%"
"LEWISTON 2","Retain Magistrate Judge Victoria Olds","YES","0","0.00%"
"LEWISTON 2","Retain Magistrate Judge Victoria Olds","NO","0","0.00%"
"LEWISTON 2","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","0","0.00%"
"LEWISTON 2","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","0","0.00%"
"LEWISTON 2","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"LEWISTON 2","Proposition 1","NO, make no change to the current primary and general election voting system.","0","0.00%"
"LEWISTON 20","United States President","Joel Skousen","0","39.90%"
"LEWISTON 20","United States President","Kamala D. Harris","70","39.90%"
"LEWISTON 20","United States President","Chase Oliver","4","39.90%"
"LEWISTON 20","United States President","Donald J. Trump","295","39.90%"
"LEWISTON 20","United States President","Shiva Ayyadurai","0","39.90%"
"LEWISTON 20","United States President","Claudia De la Cruz","0","39.90%"
"LEWISTON 20","United States President","Robert F Kennedy Jr.","8","39.90%"
"LEWISTON 20","United States President","Jill Stein","1","39.90%"
"LEWISTON 20","United States President","Randall Terry","1","39.90%"
"LEWISTON 20","United States Representative District 1","Brendan J. Gomez","4","39.90%"
"LEWISTON 20","United States Representative District 1","Kaylee Peterson","70","39.90%"
"LEWISTON 20","United States Representative District 1","Matt Loesby","6","39.90%"
"LEWISTON 20","United States Representative District 1","Russ Fulcher","296","39.90%"
"LEWISTON 20","State Senator District 7","Bill Farmer","67","39.90%"
"LEWISTON 20","State Senator District 7","Cindy Carlson","309","39.90%"
"LEWISTON 20","State Representative District 7 Seat A","Vickie Nostrant","71","39.90%"
"LEWISTON 20","State Representative District 7 Seat A","Kyle N. Harris","302","39.90%"
"LEWISTON 20","State Representative District 7 Seat B","Dustin Hardisty","76","39.90%"
"LEWISTON 20","State Representative District 7 Seat B","Charlie Shepherd","295","39.90%"
"LEWISTON 20","County Commissioner District 1","Hannah Liedkie","333","39.90%"
"LEWISTON 20","County Commissioner District 3","Pete Gertonson","78","39.90%"
"LEWISTON 20","County Commissioner District 3","Joe Gish","296","39.90%"
"LEWISTON 20","County Sheriff","Bryce Scrimsher","348","39.90%"
"LEWISTON 20","County Prosecuting Attorney","Justin J. Coleman","304","39.90%"
"LEWISTON 20","Retain Magistrate Judge Victoria Olds","YES","275","39.90%"
"LEWISTON 20","Retain Magistrate Judge Victoria Olds","NO","52","39.90%"
"LEWISTON 20","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","254","39.90%"
"LEWISTON 20","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","124","39.90%"
"LEWISTON 20","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","86","39.90%"
"LEWISTON 20","Proposition 1","NO, make no change to the current primary and general election voting system.","291","39.90%"
"LEWISTON 21","United States President","Joel Skousen","2","40.12%"
"LEWISTON 21","United States President","Kamala D. Harris","126","40.12%"
"LEWISTON 21","United States President","Chase Oliver","2","40.12%"
"LEWISTON 21","United States President","Donald J. Trump","378","40.12%"
"LEWISTON 21","United States President","Shiva Ayyadurai","0","40.12%"
"LEWISTON 21","United States President","Claudia De la Cruz","0","40.12%"
"LEWISTON 21","United States President","Robert F Kennedy Jr.","8","40.12%"
"LEWISTON 21","United States President","Jill Stein","0","40.12%"
"LEWISTON 21","United States President","Randall Terry","2","40.12%"
"LEWISTON 21","United States Representative District 1","Brendan J. Gomez","10","40.12%"
"LEWISTON 21","United States Representative District 1","Kaylee Peterson","122","40.12%"
"LEWISTON 21","United States Representative District 1","Matt Loesby","15","40.12%"
"LEWISTON 21","United States Representative District 1","Russ Fulcher","360","40.12%"
"LEWISTON 21","State Senator District 6","Julia Parker","169","40.12%"
"LEWISTON 21","State Senator District 6","Dan Foreman","339","40.12%"
"LEWISTON 21","State Representative District 6 Seat A","Trish Carter-Goodheart","90","40.12%"
"LEWISTON 21","State Representative District 6 Seat A","Lori McCann","415","40.12%"
"LEWISTON 21","State Representative District 6 Seat B","Kathy Dawes","135","40.12%"
"LEWISTON 21","State Representative District 6 Seat B","Brandon Mitchell","369","40.12%"
"LEWISTON 21","County Commissioner District 1","Hannah Liedkie","455","40.12%"
"LEWISTON 21","County Commissioner District 3","Pete Gertonson","137","40.12%"
"LEWISTON 21","County Commissioner District 3","Joe Gish","370","40.12%"
"LEWISTON 21","County Sheriff","Bryce Scrimsher","471","40.12%"
"LEWISTON 21","County Prosecuting Attorney","Justin J. Coleman","418","40.12%"
"LEWISTON 21","Retain Magistrate Judge Victoria Olds","YES","376","40.12%"
"LEWISTON 21","Retain Magistrate Judge Victoria Olds","NO","72","40.12%"
"LEWISTON 21","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","327","40.12%"
"LEWISTON 21","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","182","40.12%"
"LEWISTON 21","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","127","40.12%"
"LEWISTON 21","Proposition 1","NO, make no change to the current primary and general election voting system.","382","40.12%"
"LEWISTON 22","United States President","Joel Skousen","0","43.85%"
"LEWISTON 22","United States President","Kamala D. Harris","86","43.85%"
"LEWISTON 22","United States President","Chase Oliver","0","43.85%"
"LEWISTON 22","United States President","Donald J. Trump","324","43.85%"
"LEWISTON 22","United States President","Shiva Ayyadurai","0","43.85%"
"LEWISTON 22","United States President","Claudia De la Cruz","0","43.85%"
"LEWISTON 22","United States President","Robert F Kennedy Jr.","6","43.85%"
"LEWISTON 22","United States President","Jill Stein","3","43.85%"
"LEWISTON 22","United States President","Randall Terry","0","43.85%"
"LEWISTON 22","United States Representative District 1","Brendan J. Gomez","6","43.85%"
"LEWISTON 22","United States Representative District 1","Kaylee Peterson","84","43.85%"
"LEWISTON 22","United States Representative District 1","Matt Loesby","4","43.85%"
"LEWISTON 22","United States Representative District 1","Russ Fulcher","309","43.85%"
"LEWISTON 22","State Senator District 7","Bill Farmer","80","43.85%"
"LEWISTON 22","State Senator District 7","Cindy Carlson","323","43.85%"
"LEWISTON 22","State Representative District 7 Seat A","Vickie Nostrant","84","43.85%"
"LEWISTON 22","State Representative District 7 Seat A","Kyle N. Harris","314","43.85%"
"LEWISTON 22","State Representative District 7 Seat B","Dustin Hardisty","73","43.85%"
"LEWISTON 22","State Representative District 7 Seat B","Charlie Shepherd","325","43.85%"
"LEWISTON 22","County Commissioner District 1","Hannah Liedkie","362","43.85%"
"LEWISTON 22","County Commissioner District 3","Pete Gertonson","85","43.85%"
"LEWISTON 22","County Commissioner District 3","Joe Gish","318","43.85%"
"LEWISTON 22","County Sheriff","Bryce Scrimsher","390","43.85%"
"LEWISTON 22","County Prosecuting Attorney","Justin J. Coleman","341","43.85%"
"LEWISTON 22","Retain Magistrate Judge Victoria Olds","YES","288","43.85%"
"LEWISTON 22","Retain Magistrate Judge Victoria Olds","NO","59","43.85%"
