UNOFFICIAL ELECTION RESULTS
ADA
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"1002 - SF","Retain Magistrate Judge Michael Dean","YES","1001","95.13%"
"1002 - SF","Retain Magistrate Judge Michael Dean","NO","359","95.13%"
"1002 - SF","Retain Magistrate Judge Andrew Ellis","YES","998","95.13%"
"1002 - SF","Retain Magistrate Judge Andrew Ellis","NO","351","95.13%"
"1002 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","954","95.13%"
"1002 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","392","95.13%"
"1002 - SF","Retain Magistrate Judge Theresa Gardunia","YES","935","95.13%"
"1002 - SF","Retain Magistrate Judge Theresa Gardunia","NO","406","95.13%"
"1002 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","960","95.13%"
"1002 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","384","95.13%"
"1002 - SF","Retain Magistrate Judge Regan C. Jameson","YES","969","95.13%"
"1002 - SF","Retain Magistrate Judge Regan C. Jameson","NO","359","95.13%"
"1002 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","937","95.13%"
"1002 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","396","95.13%"
"1002 - SF","Retain Magistrate Judge David D. Manweiler","YES","963","95.13%"
"1002 - SF","Retain Magistrate Judge David D. Manweiler","NO","368","95.13%"
"1002 - SF","Retain Magistrate Judge Michael McLennan","YES","968","95.13%"
"1002 - SF","Retain Magistrate Judge Michael McLennan","NO","356","95.13%"
"1002 - SF","Retain Magistrate Judge Kyle Schou","YES","952","95.13%"
"1002 - SF","Retain Magistrate Judge Kyle Schou","NO","371","95.13%"
"1002 - SF","Retain Magistrate Judge Diane M Walker","YES","944","95.13%"
"1002 - SF","Retain Magistrate Judge Diane M Walker","NO","393","95.13%"
"1002 - SF","Retain Magistrate Judge Abraham E. Wingrove","YES","951","95.13%"
"1002 - SF","Retain Magistrate Judge Abraham E. Wingrove","NO","368","95.13%"
"1002 - SF","College of Western Idaho Zone 1","Nicole A Bradshaw","1037","95.13%"
"1002 - SF","College of Western Idaho Zone 3","Jim Reames","1007","95.13%"
"1002 - SF","College of Western Idaho Zone 4","Gary L Smith","998","95.13%"
"1002 - SF","College of Western Idaho Zone 5","Cherie Buckner-Webb","962","95.13%"
"1002 - SF","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","1649","95.13%"
"1002 - SF","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","491","95.13%"
"1002 - SF","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","292","95.13%"
"1002 - SF","Proposition 1","NO, make no change to the current primary and general election voting system.","1882","95.13%"
"1002 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","IN FAVOR OF authorizing the levy increase in the amount of $2,225,000.","943","95.13%"
"1002 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","AGAINST authorizing the levy increase in the amount of $2,225,000.","1133","95.13%"
"1003 - SF","United States President","Joel Skousen","2","87.64%"
"1003 - SF","United States President","Kamala D. Harris","306","87.64%"
"1003 - SF","United States President","Chase Oliver","4","87.64%"
"1003 - SF","United States President","Donald J. Trump","1338","87.64%"
"1003 - SF","United States President","Claudia De la Cruz","0","87.64%"
"1003 - SF","United States President","Shiva Ayyadurai","1","87.64%"
"1003 - SF","United States President","Randall Terry","1","87.64%"
"1003 - SF","United States President","Jill Stein","4","87.64%"
"1003 - SF","United States President","Robert F Kennedy Jr.","19","87.64%"
"1003 - SF","United States President","Brian Larry Kienitz","0","87.64%"
"1003 - SF","United States President","Peter Sonski","0","87.64%"
"1003 - SF","United States President","Unassigned write-ins","9","87.64%"
"1003 - SF","United States Representative District 1","Brendan J. Gomez","22","87.64%"
"1003 - SF","United States Representative District 1","Kaylee Peterson","276","87.64%"
"1003 - SF","United States Representative District 1","Matt Loesby","30","87.64%"
"1003 - SF","United States Representative District 1","Russ Fulcher","1295","87.64%"
"1003 - SF","United States Representative District 1","David D Bot","0","87.64%"
"1003 - SF","United States Representative District 1","Margot Dupre","0","87.64%"
"1003 - SF","United States Representative District 1","Unassigned write-ins","0","87.64%"
"1003 - SF","State Senator District 10","Letishia Silva","289","87.64%"
"1003 - SF","State Senator District 10","Tammy Nichols","1338","87.64%"
"1003 - SF","State Representative District 10 Seat A","Nancy Parker","276","87.64%"
"1003 - SF","State Representative District 10 Seat A","Mike Moyle","1346","87.64%"
"1003 - SF","State Representative District 10 Seat B","Shana Tremaine","279","87.64%"
"1003 - SF","State Representative District 10 Seat B","Bruce D. Skaug","1320","87.64%"
"1003 - SF","County Commissioner District 1","Jonathan Lashley","273","87.64%"
"1003 - SF","County Commissioner District 1","Ryan Davidson","1326","87.64%"
"1003 - SF","County Commissioner District 3","Devin Gutierrez","254","87.64%"
"1003 - SF","County Commissioner District 3","Tom Dayley","1332","87.64%"
"1003 - SF","County Sheriff","Doug Traubel","475","87.64%"
"1003 - SF","County Sheriff","Matthew Clifford","1101","87.64%"
"1003 - SF","County Prosecuting Attorney","Johnathan Baldauf","262","87.64%"
"1003 - SF","County Prosecuting Attorney","Jan Bennetts","1322","87.64%"
"1003 - SF","Retain Magistrate Judge Ransom Bailey","YES","877","87.64%"
"1003 - SF","Retain Magistrate Judge Ransom Bailey","NO","315","87.64%"
"1003 - SF","Retain Magistrate Judge Susan Clark","YES","859","87.64%"
"1003 - SF","Retain Magistrate Judge Susan Clark","NO","324","87.64%"
"1003 - SF","Retain Magistrate Judge Danica Comstock","YES","827","87.64%"
"1003 - SF","Retain Magistrate Judge Danica Comstock","NO","311","87.64%"
"1003 - SF","Retain Magistrate Judge Kira L. Dale","YES","810","87.64%"
"1003 - SF","Retain Magistrate Judge Kira L. Dale","NO","324","87.64%"
"1003 - SF","Retain Magistrate Judge Michael Dean","YES","831","87.64%"
"1003 - SF","Retain Magistrate Judge Michael Dean","NO","291","87.64%"
"1003 - SF","Retain Magistrate Judge Andrew Ellis","YES","827","87.64%"
"1003 - SF","Retain Magistrate Judge Andrew Ellis","NO","288","87.64%"
"1003 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","803","87.64%"
"1003 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","326","87.64%"
"1003 - SF","Retain Magistrate Judge Theresa Gardunia","YES","779","87.64%"
"1003 - SF","Retain Magistrate Judge Theresa Gardunia","NO","331","87.64%"
"1003 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","806","87.64%"
"1003 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","308","87.64%"
"1003 - SF","Retain Magistrate Judge Regan C. Jameson","YES","818","87.64%"
"1003 - SF","Retain Magistrate Judge Regan C. Jameson","NO","283","87.64%"
"1003 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","784","87.64%"
"1003 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","320","87.64%"
"1003 - SF","Retain Magistrate Judge David D. Manweiler","YES","832","87.64%"
"1003 - SF","Retain Magistrate Judge David D. Manweiler","NO","281","87.64%"
"1003 - SF","Retain Magistrate Judge Michael McLennan","YES","818","87.64%"
"1003 - SF","Retain Magistrate Judge Michael McLennan","NO","284","87.64%"
"1003 - SF","Retain Magistrate Judge Kyle Schou","YES","792","87.64%"
"1003 - SF","Retain Magistrate Judge Kyle Schou","NO","303","87.64%"
"1003 - SF","Retain Magistrate Judge Diane M Walker","YES","773","87.64%"
"1003 - SF","Retain Magistrate Judge Diane M Walker","NO","340","87.64%"
"1003 - SF","Retain Magistrate Judge Abraham E. Wingrove","YES","797","87.64%"
"1003 - SF","Retain Magistrate Judge Abraham E. Wingrove","NO","300","87.64%"
"1003 - SF","College of Western Idaho Zone 1","Nicole A Bradshaw","814","87.64%"
