Budget,Program,Bill,Status,Description
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of the State Public Defender</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>While the reductions may appear modest in isolation,
their cumulative effect would materially constrain the
SPD’s ability to manage mandatory cost growth, address
chronic staffing shortages, and fulfill the State’s
constitutional obligation to provide effective
assistance of counsel to indigent clients in criminal
cases, its statutory obligation to provide effective
assistance to indigent clients in Child Protective Act
(CPA), and involuntary commitment cases. . . The
proposed 1% and 2% budget reductions would materially
impair the SPD’s ability to manage mandatory cost
growth, address staffing shortages, and absorb known
and unknown future obligations during the first full
year of statewide operations and beyond."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Public Defense Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Appellate Public Defender</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br>To fund a 1% reduction in the current fiscal year, the
SAPD would rely on OE dollars, drawing in part from
Program 44302, a program dedicated to paying for
outside representation in non-death penalty cases in
which the SAPD has conflicts of interest. The SAPD’s
original FY 2026 appropriation included $207, 500 for
Program 44302. Fortunately, the SAPD has incurred
unprecedently low costs for non-capital conflict cases
in FY 2026.
<br>Thus, the SAPD already reverted $78, 200 from Program
44302 to the General Fund in response to Governor
Little’s executive order, leaving $129, 300 in Program
44302. Given the low costs associated with conflict
cases thus far in FY 2026, the SAPD believes it could
revert an additional $20, 000 from Program 44302
without impairing its ability to pay contract costs
associated with those cases. That would cover nearly
half the cost of a 1% ($43, 700) budget reduction for FY 2026.
<br></i>To make up the difference ($23, 700), the SAPD would
turn to Program 44301, which is the SAPD’s largest
budgeted program, and includes all personnel funding,
general operating funding, and all capital outlay
funding. Specifically, the SAPD would draw from general
operating funds in Program 44301. Through the first
half of FY 2026, the SAPD has delayed various purchases
and forgone various training opportunities for its
attorneys and staff, for fear of further budget cuts.
As a result, there will be sufficient OE funds in
Program 44301 to cover the balance of a 1% budget
reduction ($23, 700)."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Historical Society</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>The proposed FY 2026 and 2027 General Fund holdbacks
are intended as one-time measures. While ISHS is
committed to fiscal responsibility and will implement
temporary solutions where feasible, these actions are
not sustainable long-term and may result in increased
fees and limit the agency’s ability to maintain core
services to the public if extended or repeated in
future budget cycles. . . ISHS relies on contract usage
ranging from mobile security to marketing. Ongoing
funding loss impact will range from marketing services
resulting in less visitation, security services
resulting in increased risk, travel resulting in less
Idahoans served, and repairs and ongoing maintenance
needs deferred resulting in increased costs."
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Lottery</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Contract Construction & Right-of-Way</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Highway Operations</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Motor Vehicles</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Transportation Services</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br><b>Dept. of Administration</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Document Services - Postal - Utilization of one time
salary savings resulting from high turnover and vacancy
rates, and the position identified for potential FY27 reduction."
