Budget,Program,Bill,Status,Description
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of Health & Social Services Ombudsman</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>The reduction of the operating budget will have to come
out of funds that otherwise could be used to visit
facilities in person and speak with staff and with
youth who have filed complaints. It is important to
meet face to face with the youth versus digitally
because it is hard to ascertain the environment and
sometimes the youth are hesitant to visit over
technology. In addition, sometimes, the technology to
do a virtual visit is not available to youth. Community
education can be done virtually in many instances but
doing education at conferences/summits/stakeholder
meetings that don't offer this option will be difficult."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Office of the State Public Defender</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>While the reductions may appear modest in isolation,
their cumulative effect would materially constrain the
SPD’s ability to manage mandatory cost growth, address
chronic staffing shortages, and fulfill the State’s
constitutional obligation to provide effective
assistance of counsel to indigent clients in criminal
cases, its statutory obligation to provide effective
assistance to indigent clients in Child Protective Act
(CPA), and involuntary commitment cases. . . The
proposed 1% and 2% budget reductions would materially
impair the SPD’s ability to manage mandatory cost
growth, address staffing shortages, and absorb known
and unknown future obligations during the first full
year of statewide operations and beyond."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>Public Defense Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Appellate Public Defender</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>SAPD would start by utilizing $20, 000 from Program
44302, (the conflicts program). The additional $67, 400
needed to fund a 2% cut would then be drawn from OE
funds in Program 44301 (general operating funds). . .
SAPD would have no cushion to absorb increased costs in
any portion of its operations before having to resort
to employee furloughs. And, as noted, any such
furloughs would undermine the SAPD’s ability to
discharge its core constitutional duties. The SAPD has
significant concerns about the potential adverse
consequences of an additional 2% reduction for FY 2027."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Historical Society</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>The proposed FY 2026 and 2027 General Fund holdbacks
are intended as one-time measures. While ISHS is
committed to fiscal responsibility and will implement
temporary solutions where feasible, these actions are
not sustainable long-term and may result in increased
fees and limit the agency’s ability to maintain core
services to the public if extended or repeated in
future budget cycles. . . ISHS relies on contract usage
ranging from mobile security to marketing. Ongoing
funding loss impact will range from marketing services
resulting in less visitation, security services
resulting in increased risk, travel resulting in less
Idahoans served, and repairs and ongoing maintenance
needs deferred resulting in increased costs."
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Self-Governing Agencies<br><b>State Lottery</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Contract Construction & Right-of-Way</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Highway Operations</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Motor Vehicles</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Economic Development</i><br>Dept. of Transportation<br><b>Transportation Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br><b>Dept. of Administration</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Document Services - Postal - Utilization of one time
salary savings resulting from high turnover and vacancy
rates, and the position identified for potential FY27 reduction."
<i>Maintenance</i>,<i>General Government</i><br>Dept. of Administration<br><b>Capitol Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Dept. of Administration<br><b>Permanent Building Fund</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>Board of Tax Appeals</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>State Tax Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>For FY27, if we truly want to make material reductions
to our budget, that limits our options to cutting
personnel and programs that are responsible for tax
collection activities. To evaluate these ongoing
recommendations, please note that the Tax Commission
collects roughly $26. 9 million in revenue per day. The
tax season temporary workforce option will lead to an
increase in tax return processing time by 18 to 24
weeks and increase the time to send refunds by 6 weeks,
which is estimated to result in up to $7 million
dollars being paid out in refund interest. It will also
reduce the level of service that can be provided to
taxpayers, which means longer processing times for
essentials like business permits and refunds. The
elimination of Fast Collection Services will reduce
revenue to the General Fund by roughly $20-$50 million."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Commission for the Blind & Visually Impaired</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Core client services impacted include and reduction in
number of participants served in Sight Restoration (SR)
and a reduction in services provided for Vocational
Rehabilitation (VR) clients (see attached for details).
With a 2% reduction we would have a reduction in travel
to regional offices for in-person oversight, training, and guidance."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Commission on Aging</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Commission on the Arts</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>For both FY 2026 and FY 2027, our agency would meet any
required reversions through reductions in personnel
costs. . .  If additional reductions are required in FY
2027, the agency would need to temporarily vacate a
position and restructure the role to align with reduced
agency capacity resulting from cumulative budget reductions."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Div. of Financial Management</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br>2% - $47. 2K OE cuts would include:
<br>• Cutting/renegotiating contracts
<br>o DFM is very efficient in this area already, a cut in
this area would mean elimination of necessary tools
used to develop budgets. For example: (a) economic
tools that strengthen the ability to forecast and
collect data for the most accurate revenue projections;
and (b) Federal Funds
<br>Information for States (FFIS) which helps states manage
federal funds by analyzing the impact of federal
actions on states—be it sequestration, budget
enactment, new legislative proposals, or potential
government shutdowns. These tools are extensively used
by the executive and legislative branches to accurately
and efficiently set budget and make policy decisions
for the Idaho taxpayers.
<br>• Limit IT Services
<br>o DFM, like all state agencies, already operate on
limited IT services. Further cuts to IT services will
lead to lower productivity, increased system downtime,
and greater cybersecurity risk as maintenance and
support are reduced. Such cuts will also lead to slower
response times, limited tools, reduced innovation,
minimizing efficiencies and growing technical debt.
Lastly, IT cuts would likely lead to future increased
IT needs and costs.
<br></i>All potential options would impair compliance with Idaho code."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Div. of Human Resources</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Military Division</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Office of Drug Policy</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>Salary savings generated from vacant positions are
being reverted at this time. While these savings
reflect short-term efficiencies, continued reversion
could eventually have a negative impact on General Fund
personnel costs. Specifically, if the Governor and
Legislature appoint a Director for the Office of Drug
Policy, the resulting salary and benefit obligations
would eliminate current vacancy savings and place
additional pressure on personnel expenditures. Over
time, this could reduce staffing flexibility and limit
the ability to absorb future personnel costs within the General Fund."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Office of Energy & Mineral Resources</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Office of Information Technology Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>This plan protects the personnel budget as all
positions and labor hours are critical to fulfilling
our mission, and it excludes reductions to critical
line-item projects in progress as part of our combined
FY 2026 and FY 2027 plan to sustain critical services
during this challenging budget period. To fulfill this
additional budget reduction, ITS would further reduce
expenditures within the employee travel/training
portion of our spending plan, which includes employee
travel, employe development, and both individual and
group memberships. 69% of the ITS travel plan is for
essential IT support of the statewide network, agency
customers and necessary memberships. This includes
on-site support of network and customers, deployment of
computers and networking equipment, multi-partner
cybersecurity drills, and required administrative
travel. The other 31% is to ensure employees are
current with skills and knowledge with constantly
developing IT industry standards to reduce statewide
risks of cyber threats and maintain statewide employee
productivity. Funding reductions would be from the
later 31% until prioritized funding becomes available.
These additional reductions would increase risks of
outdated critical knowledge and delayed customer
support. Within this area, ITS also rents vehicles to
provide necessary customer support given the limited
number of vehicles in the fleet. For FY 2026, ITS has
already placed a freeze on all non-essential travel (as
described above) as we work through an internal FY
2026-2027 critical services plan to sustain the
statewide network and manage risks. Any further
reductions will limit resources to solve that critical services effort."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Office of Species Conservation</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Public Employee Retirement System</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>State Liquor Division</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>STEM Action Center</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>For FY27, the STEM Action Center general fund
appropriation is eliminated as a line item. A separate
line item then incorporates it into the Workforce
Development Council’s budget. The line item bringing
the general fund appropriation into the WDC provides a
reduction of 2. 0 FTP and just over 10% ($333, 900) of
the FY2026 appropriation to the STEM Action Center."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Wolf Depredation Control Board</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>This reduction would directly decrease funding
available for wolf management operations, including
depredation inspections by U. S. Wildlife Services and
Board-supported projects, and would limit the Board’s
ability to maintain readiness and respond during
periods of increased depredation, resulting in fewer
inspections, longer response times, and delayed
management actions when impacts to livestock and
wildlife are highest."
<i>Maintenance</i>,<i>General Government</i><br>Office of the Governor<br><b>Workforce Development Council</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br><b>State Independent Living Council</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Child Welfare</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Medicaid</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Welfare</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Independent Councils</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Indirect Support Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Licensing & Certification</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Mental Health Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Psychiatric Hospitalization</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Public Health Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Service Integration</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Services for the Developmentally Disabled</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Substance Abuse Treatment & Prevention</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Judicial Branch</i><br><b>Court Operations</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Judicial Branch</i><br><b>Guardian Ad Litem Program</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Judicial Branch</i><br><b>Judicial Council</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Legislative Branch</i><br><b>Legislative Services Office</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br>The Legislative Services Office is participating in the
3% ongoing reductions in FY 2026 and FY 2027, by
reducing Operating Expenditures and Personnel Costs.
The reduction in Operating Expenditures comes from
limiting or eliminating in-state and out-of-state
travel, lodging, registrations, and subscriptions, and
by possibly deferring some hardware replacements.
Personnel Cost savings are being achieved by delaying
hiring of vacant positions and hiring fewer session staff.
<br></i>The reductions to achieve an additional 1% or 2% in
either FY 2026 or FY 2027 will be primarily from
Personnel Costs. Options include: 1. Keeping positions
vacant for as long as practical, 2. Rehiring at entry
level, or 3. Furloughing staff (each 1% reduction is
equal to three days of unpaid leave for all staff)."
<i>Maintenance</i>,<i>Legislative Branch</i><br><b>Legislative Technology</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Legislative Branch</i><br><b>Legislature</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Legislative Branch</i><br><b>Office of Performance Evaluations</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br>OPE has requested that the
<br>original 3% reduction come
<br>out of our operating spending
<br>authority, which represents a
<br>45% decrease in our operating
<br>budget. These savings will
<br>come from reduced out-of-
<br>state travel, reduced use of
<br>consultants, eliminating a
<br>legal services subscription,
<br></i>and consolidating software."
<i>Maintenance</i>,<i>Natural Resources</i><br><b>Dept. of Environmental Quality</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Natural Resources</i><br><b>Dept. of Fish & Game</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Natural Resources</i><br><b>Dept. of Parks & Recreation</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Natural Resources</i><br><b>Dept. of Water Resources</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br>IDWR proposes shifting one FTP from the General Fund to
the Northern Idaho Adjudication Fund (NIA). The
legislature would need to create an appropriation of
Personnel Costs in the NIA to implement this solution.
<br></i>IDWR proposes shifting one FTP from the General Fund to
the Bear River Basin Adjudication Fund (BRBA). The
legislature would need to create an appropriation of
Personnel Costs in the BRBA to implement this solution."
<i>Maintenance</i>,<i>Natural Resources</i><br>Land Board<br><b>Dept. of Lands</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>A large majority of the general funds in the IDL budget
is in the Fire (LAAD)and Forestry Assistance (LAAB)
budget units, which include fire preparedness,
suppression, and proactive forest management programs
like Good Neighbor Authority and Shared Stewardship. As
such, when holdbacks are requested, these budget units
must be a significant contributor to the reduced
spending. The Department is committed to implementation
of executive order 2025-04, the Make Forests Healthy
Again Act, which directs the Department to help
expedite active forest management and mitigate the risk
of catastrophic fires. The Act also directs the
Department to expand Good Neighbor Authority and also
to expand Shared Stewardship to increase the pace and
scale of fuel reduction projects and active forest
management. Simply put, the goal is more acres treated
(fuel reduction and forest health projects and/or
timber harvest) on state, private, and federal lands.
The Department has established a target to double the
output of timber volume from GNA projects on federal
lands over five years as a means of implementing
executive order 2025-04 and assisting the US Forest
Service with meeting the objectives of Presidential
Orders and related federal Department direction.
Department staff are directly involved with the
planning and implementation of the forest management
project in both GNA and Shared Stewardship, from NEPA
analysis through field work and contract administration
to completion. As funds are shifted from other sources
(federal grants and GNA project funds) to replace the
lost general fund there will be impacts on project
implementation. The Department will mitigate the
impacts as much as possible, but in summary, a
reduction in funding is likely to impact the amount of
work completed towards the goals of the Make Forests
Healthy Again Act."
<i>Maintenance</i>,<i>Natural Resources</i><br>Land Board<br><b>Endowment Fund Investment Board</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br><b>Dept. of Juvenile Corrections</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br><b>Idaho State Police</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>Community Corrections</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>Community-Based SUDS Treatment</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>County & Out-of-State Placement</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>Management Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>Medical Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Dept. of Correction<br><b>State Prisons</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Idaho State Police<br><b>Brand Inspection</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Idaho State Police<br><b>POST Academy</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Safety</i><br>Idaho State Police<br><b>Racing Commission</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Administrators</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Central Services</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Children's Programs</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Facilities</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Idaho Digital Learning Academy</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Operations</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Services for the Deaf & the Blind</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Student Support</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>Public Schools</i><br><b>Teachers</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>State Board of Education</i><br><b>Agricultural Research & Extension Service</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
<i>Maintenance</i>,<i>State Board of Education</i><br><b>Career Technical Education</b>,☐,—,"<b></b>2/6: 5% FY 27 reduction
<br>Governor's 3% + JFAC's 2%
<br><i><b></b>FY 26 Additional 2% plan detail:
<br></i>"
